duty_name,duty_code,duty_addr,wgs84Lon,wgs84Lat
(의)내경의료재단울산제일병원,A1700023,울산광역시 남구 남산로354번길 26 (신정동),129.30701143429678,35.54823820112527
(의)서일의료재단기장병원,A1200028,부산광역시 기장군 기장읍 대청로72번길 6,129.21649161387128,35.23602946449906
(의)성세의료재단 뉴성민병원,A1400008,"인천광역시 서구 칠천왕로33번길 17 (석남동, 신석로 70(석남1동, 성민병원))",126.669478649026,37.5089936801167
(의)영문의료재단다보스병원,A2100019,"경기도 용인시 처인구 백옥대로1082번길 18, 다보스종합병원 (김량장동)",127.21049868474802,37.234641294534285
(의)효심의료재단용인서울병원,A2100122,경기도 용인시 처인구 고림로 81 (고림동),127.2144914405,37.240316373
(재)미리내천주성삼성직수도회천주성삼병원,A1300081,"대구광역시 수성구 달구벌대로 3190 (신매동, 천주성삼병원)",128.70573339664242,35.84022544517349
KS병원,A1500019,광주광역시 광산구 왕버들로 220 (수완동),126.83322475289853,35.197963178976366
가톨릭관동대학교국제성모병원,A1400015,"인천광역시 서구 심곡로100번길 25 (심곡동, 인천국제성모병원)",126.68360486878781,37.542372653918065
가톨릭대학교 인천성모병원,A1400012,인천광역시 부평구 동수로 56 (부평동),126.724708130675,37.4845586499062
가톨릭대학교부천성모병원,A2100052,"경기도 부천시 원미구 소사로 327, 가톨릭대학교 부천성모병원 (소사동)",126.79243459154999,37.4874477394264
가톨릭대학교성빈센트병원,A2100012,경기도 수원시 팔달구 중부대로 93 (지동),127.02744945028702,37.27792234538125
가톨릭대학교여의도성모병원,A1100011,"서울특별시 영등포구 63로 10, 여의도성모병원 (여의도동)",126.93673129599131,37.51827233800711
가톨릭대학교은평성모병원,A1121013,서울특별시 은평구 통일로 1021 (진관동),126.91615048739686,37.633608409726854
가톨릭대학교의정부성모병원,A2100040,"경기도 의정부시 천보로 271, 의정부성모병원 (금오동)",127.07767290194454,37.75865547828227
강남고려병원,A1100047,서울특별시 관악구 관악로 242 (봉천동),126.956781703053,37.4856188363947
강남더드림병원,A1123234,"서울특별시 강남구 선릉로 404, 더드림병원 (대치동)",127.050967336445,37.5009902618151
강남베드로병원,A1100141,"서울특별시 강남구 남부순환로 2649, 베드로병원 (도곡동)",127.0395873429168,37.485612179925724
강남병원,A2100029,"경기도 용인시 기흥구 중부대로 411, 강남병원 (신갈동)",127.11140719951389,37.27377983891884
강남종합병원,A1300018,"대구광역시 동구 동촌로 207, 강남병원 (방촌동)",128.66345602650745,35.88300855242191
강남힐병원,A1100076,"서울특별시 관악구 남부순환로 1449, 강남힐병원 (신림동)",126.911648078471,37.4816513439454
강동경희대학교의대병원,A1100043,서울특별시 강동구 동남로 892 (상일동),127.157084787845,37.5520459324005
강릉아산병원,A2200008,강원특별자치도 강릉시 사천면 방동길 38,128.85771413305145,37.818426685036066
강병원,A2800032,경상남도 고성군 고성읍 중앙로 49,128.32528942283565,34.97415924940364
강북삼성병원,A1100006,서울특별시 종로구 새문안로 29 (평동),126.96793805451702,37.568497631233825
강북으뜸병원,A1121842,"서울특별시 강북구 도봉로 187, 지하1층, 2층~5층 (미아동)",127.026184524499,37.6254205559935
강서케이병원,A1117285,"서울특별시 강서구 가로공원로 187, 나누리강서병원 지1층~7층 (화곡동)",126.836699017573,37.5373576230977
강원대학교병원,A2200009,강원특별자치도 춘천시 백령로 156 (효자동),127.74448573764938,37.87497158192399
강원특별자치도강릉의료원,A2200011,강원특별자치도 강릉시 경강로 2007 (남문동),128.8887963251862,37.74931042017154
강원특별자치도삼척의료원,A2200007,강원특별자치도 삼척시 오십천로 418 (남양동),129.16370014395005,37.44027922704624
강원특별자치도속초의료원,A2200012,강원특별자치도 속초시 영랑호반길 3 (영랑동),128.5891194514502,38.21622784728713
강원특별자치도영월의료원,A2200002,강원특별자치도 영월군 영월읍 중앙1로 59-  ( ),128.46530529870284,37.186588403987926
강원특별자치도원주의료원,A2200015,"강원특별자치도 원주시 서원대로 387 (개운동, 지방공사강원도원주의료원)",127.94896203327231,37.332496031537154
강일병원,A2803677,경상남도 김해시 가락로 359 (구산동),128.869611099,35.2567043538
거창적십자병원,A2800076,경상남도 거창군 거창읍 중앙로 91,127.90877080146283,35.686801911628535
건국대학교병원,A1100002,서울특별시 광진구 능동로 120-1 (화양동),127.0721229093036,37.54084479467721
건국대학교충주병원,A2300010,충청북도 충주시 국원대로 82 (교현동),127.92863660615964,36.97897509717851
검단탑병원,A1400010,인천광역시 서구 청마로19번길 5 (당하동),126.6710400927469,37.59241914491385
경기도의료원수원병원,A2100032,경기도 수원시 장안구 수성로245번길 69 (정자동),126.99638776108885,37.29188165276277
경기도의료원안성병원,A2100045,"경기도 안성시 남파로 95, 경기도의료원 안성병원 (당왕동)",127.26033944589187,37.01736702955601
경기도의료원의정부병원,A2100043,경기도 의정부시 흥선로 142 (의정부동),127.04255485020957,37.74108830096243
경기도의료원이천병원,A2100193,경기도 이천시 경충대로 2742 (관고동),127.43266388888888,37.282694444444445
경기도의료원파주병원,A2100035,"경기도 파주시 중앙로 207, 경기도립의료원파주병원 (금촌동)",126.779637936,37.7548802103
경기도의료원포천병원,A2100031,경기도 포천시 포천로 1648 (신읍동),127.1983186069986,37.903264018475866
경북대학교병원,A1300002,"대구광역시 중구 동덕로 130 (삼덕동2가, 경북대학교병원)",128.60431466100362,35.866235497221617
경상국립대학교병원,A2800001,경상남도 진주시 강남로 79 (칠암동),128.09564813723503,35.176340165507916
경상남도마산의료원,A2800025,경상남도 창원시 마산합포구 3·15대로 231 (중앙동3가),128.56551976148475,35.19906819846745
경상북도김천의료원,A2700018,경상북도 김천시 모암길 24 (모암동),128.12649330522635,36.12249076001089
경상북도안동의료원,A2700001,"경상북도 안동시 태사2길 55 (북문동, 470)",128.73213342858523,36.56826733448251
경상북도포항의료원,A2700005,"경상북도 포항시 북구 용흥로 36 (용흥동, (용흥동))",129.3549930430143,36.03462413480262
경찰병원,A1100039,"서울특별시 송파구 송이로 123, 국립경찰병원 (가락동)",127.12348793503201,37.496413213560785
경희대학교병원,A1100001,서울특별시 동대문구 경희대로 23 (회기동),127.05183223390303,37.5938765502235
계명대학교경주동산병원,A2700097,경상북도 경주시 봉황로 65 (서부동),129.20964031186756,35.84545696334947
계명대학교대구동산병원,A1303386,"대구광역시 중구 달성로 56, 계명대학교대구동산병원 (동산동)",128.5829311080459,35.869459650891685
계명대학교동산병원,A1300003,대구광역시 달서구 달구벌대로 1035 (신당동),128.48012966656532,35.85388728949212
고려대학교의과대학부속구로병원,A1100014,"서울특별시 구로구 구로동로 148, 고려대부속구로병원 (구로동)",126.8847449363546,37.49211114525054
고려대학교의과대학부속안산병원,A2100003,경기도 안산시 단원구 적금로 123 (고잔동),126.8250018362211,37.31885818300129
고신대학교복음병원,A1200004,부산광역시 서구 감천로 262 (암남동),129.01572016067405,35.08029169184386
곡성사랑병원,A2600029,전라남도 곡성군 곡성읍 곡성로 761,127.2879760334259,35.27628370526432
곽병원,A1300008,대구광역시 중구 국채보상로 531 (수동),128.58872807724623,35.870693147975665
광명성애병원,A2100007,"경기도 광명시 디지털로 36, 광명성애병원 (철산동)",126.87192258470483,37.4734614743463
광양사랑병원,A2600006,전라남도 광양시 공영로 71 (중동),127.6969510970332,34.93614549410383
광주기독병원,A1500021,광주광역시 남구 양림로 37 (양림동),126.91198438867642,35.136682861070376
광주병원,A1500015,광주광역시 북구 면앙로139번길 51 (두암동),126.9281507303555,35.178949208210625
광주보훈병원,A1500004,광주광역시 광산구 첨단월봉로 99 (산월동),126.84947860623933,35.207797211036485
광주센트럴병원,A1502007,"광주광역시 광산구 수완로 6, A동1,3,5,6층/B동동 (신가동)",126.82909951503984,35.185893735732634
광주수완병원,A1500018,광주광역시 광산구 임방울대로 370 (수완동),126.82420927535313,35.19303617477934
광주씨티병원,A1500009,광주광역시 남구 서문대로654번길 5 (진월동),126.8995475485602,35.11776253778263
광주열린병원,A1500043,광주광역시 광산구 송도로 271 (송정동),126.79889471288638,35.13768234340966
광주일곡병원,A1500005,광주광역시 북구 양일로 309 (일곡동),126.89760857687219,35.20286119554041
광주한국병원,A1500016,광주광역시 서구 월드컵4강로 223 (쌍촌동),126.86880878336211,35.15618108764772
광주현대병원,A1500003,광주광역시 북구 설죽로 291 (용봉동),126.89798149528589,35.18565646419727
광주희망병원,A1500007,광주광역시 북구 하서로 429 (용두동),126.87471568685204,35.21344678097714
구례병원,A2600061,전라남도 구례군 구례읍 동편제길 4,127.46406009751603,35.215900947788214
구로성심병원,A1100026,"서울특별시 구로구 경인로 427, 구로성심병원 (고척동)",126.86636039556485,37.49964578669388
구미강동병원,A2700015,경상북도 구미시 인동20길 46 (진평동),128.42297791647263,36.096198858616574
구포성심병원,A1200045,부산광역시 북구 낙동대로 1786 (구포동),129.0047510374652,35.20971002878793
국군수도병원,A2100258,경기도 성남시 분당구 새마을로177번길 81 (율동),127.14858611111111,37.39186666666668
국립암센터,A2100049,경기도 고양시 일산동구 일산로 323 (마두동),126.78327945120733,37.664170778165285
국립중앙의료원,A1100052,"서울특별시 중구 을지로 245, 국립중앙의료원 (을지로6가)",127.00579539705472,37.56733955813183
국민건강보험공단일산병원,A2100033,"경기도 고양시 일산동구 일산로 100 (백석동,백석1동 1241외1필지 4층)",126.792204040477,37.64530592402248
굿모닝병원,A1700010,울산광역시 남구 삼산로 110 (달동),129.31995893362847,35.535010719916684
근로복지공단 창원병원,A2800012,경상남도 창원시 성산구 창원대로 721 (중앙동),128.6715437456084,35.21861866618743
근로복지공단대전병원,A1600009,대전광역시 대덕구 계족로 637 (법동),127.42849985514822,36.36857686754784
근로복지공단동해병원,A2200038,"강원특별자치도 동해시 하평로 11-  (평릉동, (평릉동))",129.1058560226859,37.53232311891651
근로복지공단순천병원,A2600012,전라남도 순천시 조례1길 24 (조례동),127.524525911996,34.960325022571
근로복지공단안산병원,A2100014,"경기도 안산시 상록구 구룡로 87, 근로복지공단안산병원 (일동)",126.87402848671928,37.31687107499767
근로복지공단인천병원,A1400032,인천광역시 부평구 무네미로 446 (구산동),126.75331590774624,37.476349746510174
근로복지공단정선병원,A2200048,강원특별자치도 정선군 정선읍 봉양1길 145,128.658420530712,37.3829238141538
